Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,5,14,0,14,3,82,5
5,2000,12,5,14,0,14,4,85,5
5,2000,12,5,14,0,14,5,86,5
5,2000,12,5,15,0,15,1,85,5
5,2000,12,5,15,0,15,2,85,5
5,2000,12,5,15,0,15,3,82,5
5,2000,12,5,15,0,15,4,85,5
5,2000,12,5,15,0,15,5,86,5
5,2000,12,5,16,0,16,1,85,5
5,2000,12,5,16,0,16,2,85,5
5,2000,12,5,16,0,16,3,82,5
5,2000,12,5,16,0,16,4,85,5
5,2000,12,5,16,0,16,5,86,5
5,2000,12,5,17,0,17,1,85,5
5,2000,12,5,17,0,17,2,85,5
5,2000,12,5,17,0,17,3,82,5
5,2000,12,5,17,0,17,4,85,5
5,2000,12,5,17,0,17,5,86,5
5,2000,12,5,18,0,18,1,85,5
5,2000,12,5,18,0,18,2,85,5
5,2000,12,5,18,0,18,3,82,5
5,2000,12,5,18,0,18,4,85,5
5,2000,12,5,18,0,18,5,86,5
5,2000,12,5,19,0,19,1,85,5
5,2000,12,5,19,0,19,2,85,5
5,2000,12,5,19,0,19,3,82,5
5,2000,12,5,19,0,19,4,85,5
5,2000,12,5,19,0,19,5,86,5
5,2000,12,5,20,0,20,1,85,5
5,2000,12,5,20,0,20,2,85,5
5,2000,12,5,20,0,20,3,82,5
5,2000,12,5,20,0,20,4,85,5
5,2000,12,5,20,0,20,5,86,5
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,5,1,1,1,1,33,0
5,2000,12,5,1,1,1,2,60,1
5,2000,12,5,1,1,1,3,77,5
5,2000,12,5,1,1,1,4,84,5
5,2000,12,5,1,1,1,5,85,5
5,2000,12,5,2,1,2,1,83,5
5,2000,12,5,2,1,2,2,87,5
5,2000,12,5,2,1,2,3,86,5
5,2000,12,5,2,1,2,4,84,5
5,2000,12,5,2,1,2,5,85,5
5,2000,12,5,3,1,3,1,83,5
5,2000,12,5,3,1,3,2,87,5
5,2000,12,5,3,1,3,3,86,5
5,2000,12,5,3,1,3,4,84,5
5,2000,12,5,3,1,3,5,85,5
5,2000,12,5,4,1,4,1,83,5
5,2000,12,5,4,1,4,2,87,5
5,2000,12,5,4,1,4,3,86,5
5,2000,12,5,4,1,4,4,84,5
5,2000,12,5,4,1,4,5,85,5
5,2000,12,5,5,1,5,1,83,5
5,2000,12,5,5,1,5,2,87,5
5,2000,12,5,5,1,5,3,86,5
5,2000,12,5,5,1,5,4,84,5
5,2000,12,5,5,1,5,5,85,5
5,2000,12,5,6,1,6,1,83,5
5,2000,12,5,6,1,6,2,87,5
