NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,4,2,4,3,123,0
50,5,1000,4,0,4,2,4,4,127,0
50,5,1000,4,0,4,2,4,5,129,0
50,5,1000,4,0,5,2,5,1,131,0
50,5,1000,4,0,5,2,5,2,131,0
50,5,1000,4,0,5,2,5,3,123,0
50,5,1000,4,0,5,2,5,4,127,0
50,5,1000,4,0,5,2,5,5,129,0
50,5,1000,4,0,6,2,6,1,131,0
50,5,1000,4,0,6,2,6,2,131,0
50,5,1000,4,0,6,2,6,3,123,0
50,5,1000,4,0,6,2,6,4,127,0
50,5,1000,4,0,6,2,6,5,129,0
50,5,1000,4,0,7,2,7,1,131,0
50,5,1000,4,0,7,2,7,2,131,0
50,5,1000,4,0,7,2,7,3,123,0
50,5,1000,4,0,7,2,7,4,127,0
50,5,1000,4,0,7,2,7,5,129,0
50,5,1000,4,0,8,2,8,1,131,0
50,5,1000,4,0,8,2,8,2,131,0
50,5,1000,4,0,8,2,8,3,123,0
50,5,1000,4,0,8,2,8,4,127,0
50,5,1000,4,0,8,2,8,5,129,0
50,5,1000,4,0,9,2,9,1,131,0
50,5,1000,4,0,9,2,9,2,131,0
50,5,1000,4,0,9,2,9,3,123,0
50,5,1000,4,0,9,2,9,4,127,0
50,5,1000,4,0,9,2,9,5,129,0
50,5,1000,4,0,10,2,10,1,131,0
50,5,1000,4,0,10,2,10,2,131,0
50,5,1000,4,0,10,2,10,3,123,0
50,5,1000,4,0,10,2,10,4,127,0
50,5,1000,4,0,10,2,10,5,129,0
50,5,1000,4,0,11,2,11,1,131,0
50,5,1000,4,0,11,2,11,2,131,0
50,5,1000,4,0,11,2,11,3,123,0
50,5,1000,4,0,11,2,11,4,127,0
50,5,1000,4,0,11,2,11,5,129,0
50,5,1000,4,0,12,2,12,1,131,0
50,5,1000,4,0,12,2,12,2,131,0
50,5,1000,4,0,12,2,12,3,123,0
50,5,1000,4,0,12,2,12,4,127,0
50,5,1000,4,0,12,2,12,5,129,0
50,5,1000,4,0,13,2,13,1,131,0
50,5,1000,4,0,13,2,13,2,131,0
50,5,1000,4,0,13,2,13,3,123,0
50,5,1000,4,0,13,2,13,4,127,0
50,5,1000,4,0,13,2,13,5,129,0
50,5,1000,4,0,14,2,14,1,131,0
50,5,1000,4,0,14,2,14,2,131,0
50,5,1000,4,0,14,2,14,3,123,0
50,5,1000,4,0,14,2,14,4,127,0
50,5,1000,4,0,14,2,14,5,129,0
50,5,1000,4,0,15,2,15,1,131,0
50,5,1000,4,0,15,2,15,2,131,0
50,5,1000,4,0,15,2,15,3,123,0
50,5,1000,4,0,15,2,15,4,127,0
50,5,1000,4,0,15,2,15,5,129,0
50,5,1000,4,0,16,2,16,1,131,0
50,5,1000,4,0,16,2,16,2,131,0
50,5,1000,4,0,16,2,16,3,123,0
50,5,1000,4,0,16,2,16,4,127,0
50,5,1000,4,0,16,2,16,5,129,0
50,5,1000,4,0,17,2,17,1,131,0
